Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,August 2014,$321K,-23.1%,91.4%,4,33.3%,-50.0%,3,-25.0%,50.0%,4,-33.3%,100.0%,32,24,13,94.7%,-8.8%,-5.7%
,September 2014,$232K,-27.6%,49.7%,4,0.0%,-20.0%,2,-33.3%,100.0%,4,0.0%,100.0%,160,128,96,92.4%,-2.3%,-7.3%
,October 2014,$248K,6.7%,65.0%,6,50.0%,500.0%,3,50.0%,50.0%,5,25.0%,150.0%,160,0,42,94.8%,2.4%,6.5%
,November 2014,$270K,9.1%,-3.6%,4,-33.3%,100.0%,4,33.3%,0.0%,6,20.0%,100.0%,235,75,226,98.9%,4.1%,1.2%
,December 2014,$285K,5.6%,1.8%,5,25.0%,150.0%,4,0.0%,-42.9%,3,-50.0%,-50.0%,59,-176,50,95.4%,-3.4%,-2.2%
,January 2015,$229K,-19.8%,-18.4%,4,-20.0%,100.0%,4,0.0%,-42.9%,3,0.0%,-50.0%,81,22,72,93.7%,-1.7%,-3.9%
,February 2015,$229K,0.0%,-22.1%,4,0.0%,100.0%,3,-25.0%,-70.0%,4,33.3%,-55.6%,81,0,44,93.7%,0.0%,-7.5%
,March 2015,$420K,83.8%,43.1%,3,-25.0%,50.0%,4,33.3%,-50.0%,1,-75.0%,-88.9%,51,-30,14,110.5%,16.7%,9.2%
,April 2015,$425K,1.2%,44.8%,5,66.7%,25.0%,5,25.0%,-28.6%,2,100.0%,-80.0%,6,-45,-58,109.0%,-1.4%,11.1%
,May 2015,$423K,-0.6%,73.2%,6,20.0%,100.0%,5,0.0%,0.0%,2,0.0%,-77.8%,7,1,-57,109.3%,0.3%,11.3%
,June 2015,$350K,-17.3%,9.2%,7,16.7%,40.0%,5,0.0%,0.0%,1,-50.0%,-87.5%,7,0,-29,108.7%,-0.6%,8.8%
,July 2015,$290K,-17.1%,-30.5%,4,-42.9%,33.3%,5,0.0%,25.0%,2,100.0%,-66.7%,8,1,-1,112.6%,3.9%,9.1%
,August 2015,$290K,0.1%,-9.6%,5,25.0%,25.0%,7,40.0%,133.3%,5,150.0%,25.0%,7,-1,-25,109.9%,-2.8%,15.1%
,September 2015,$482K,66.3%,107.8%,3,-40.0%,-25.0%,8,14.3%,300.0%,2,-60.0%,-50.0%,7,0,-153,106.4%,-3.5%,14.0%
,October 2015,$445K,-7.6%,79.9%,8,166.7%,33.3%,8,0.0%,166.7%,3,50.0%,-40.0%,13,6,-147,101.1%,-5.3%,6.3%
,November 2015,$445K,0.0%,65.0%,6,-25.0%,50.0%,5,-37.5%,25.0%,3,0.0%,-50.0%,22,9,-213,99.9%,-1.2%,1.0%
,December 2015,$441K,-1.0%,54.7%,5,-16.7%,0.0%,3,-40.0%,-25.0%,2,-33.3%,-33.3%,28,6,-31,98.0%,-1.9%,2.5%
,January 2016,$452K,2.5%,97.8%,1,-80.0%,-75.0%,1,-66.7%,-75.0%,2,0.0%,-33.3%,7,-21,-74,100.5%,2.5%,6.7%
,February 2016,$441K,-2.3%,93.2%,2,100.0%,-50.0%,,,,1,-50.0%,-75.0%,51,44,-30,102.2%,1.7%,8.4%
,March 2016,$441K,0.0%,5.1%,2,0.0%,-33.3%,,,,1,0.0%,0.0%,51,0,0,102.2%,0.0%,-8.3%
,April 2016,$431K,-2.4%,1.4%,1,-50.0%,-80.0%,2,,-60.0%,3,200.0%,50.0%,95,44,89,103.9%,1.7%,-5.2%
,May 2016,$355K,-17.6%,-16.0%,1,0.0%,-83.3%,4,100.0%,-20.0%,3,0.0%,50.0%,16,-79,9,93.4%,-10.4%,-15.9%
,June 2016,$355K,0.0%,1.6%,3,200.0%,-57.1%,4,0.0%,-20.0%,2,-33.3%,100.0%,7,-9,0,98.3%,4.9%,-10.4%
,July 2016,$355K,0.0%,22.5%,3,0.0%,-25.0%,3,-25.0%,-40.0%,2,0.0%,0.0%,7,0,-1,98.3%,0.0%,-14.3%
,August 2016,$380K,7.0%,31.1%,2,-33.3%,-60.0%,3,0.0%,-57.1%,2,0.0%,-60.0%,6,-1,-1,100.8%,2.4%,-9.1%
,September 2016,$342K,-10.1%,-29.1%,1,-50.0%,-66.7%,5,66.7%,-37.5%,2,0.0%,0.0%,28,22,21,100.7%,0.0%,-5.6%
,October 2016,$342K,0.0%,-23.3%,3,200.0%,-62.5%,8,60.0%,0.0%,3,50.0%,0.0%,8,-20,-5,104.4%,3.7%,3.3%
,November 2016,$358K,4.8%,-19.6%,5,66.7%,-16.7%,6,-25.0%,20.0%,,,,8,0,-14,107.9%,3.5%,8.0%
,December 2016,$374K,4.5%,-15.2%,5,0.0%,0.0%,5,-16.7%,66.7%,1,,-50.0%,8,0,-20,107.7%,-0.2%,9.7%
,January 2017,$400K,6.9%,-11.5%,3,-40.0%,200.0%,2,-60.0%,100.0%,2,100.0%,0.0%,14,6,7,108.7%,1.0%,8.2%
,February 2017,$374K,-6.5%,-15.3%,1,-66.7%,-50.0%,3,50.0%,,2,0.0%,100.0%,14,0,-37,99.8%,-8.9%,-2.4%
,March 2017,$634K,69.5%,43.6%,2,100.0%,0.0%,4,33.3%,,3,50.0%,200.0%,29,15,-23,109.9%,10.2%,7.8%
,April 2017,$634K,0.0%,47.1%,2,0.0%,100.0%,4,0.0%,100.0%,3,0.0%,0.0%,29,0,-67,109.9%,0.0%,6.1%
,May 2017,$563K,-11.3%,58.5%,4,100.0%,300.0%,4,0.0%,0.0%,2,-33.3%,-33.3%,24,-5,8,109.7%,-0.2%,16.3%
,June 2017,$515K,-8.4%,45.1%,3,-25.0%,0.0%,5,25.0%,25.0%,4,100.0%,100.0%,7,-17,0,107.6%,-2.1%,9.3%
,July 2017,$515K,0.0%,45.1%,3,0.0%,0.0%,4,-20.0%,33.3%,,,,7,0,0,107.6%,0.0%,9.3%
,August 2017,$552K,7.1%,45.1%,4,33.3%,100.0%,3,-25.0%,0.0%,,,,15,8,9,100.9%,-6.7%,0.2%
,September 2017,$550K,-0.3%,61.1%,3,-25.0%,200.0%,2,-33.3%,-60.0%,2,,0.0%,22,7,-6,100.0%,-0.9%,-0.7%
,October 2017,$550K,0.0%,61.1%,3,0.0%,0.0%,3,50.0%,-62.5%,2,0.0%,-33.3%,22,0,14,100.0%,0.0%,-4.4%
,November 2017,$350K,-36.4%,-2.2%,1,-66.7%,-80.0%,4,33.3%,-33.3%,2,0.0%,,11,-11,3,100.0%,0.0%,-7.9%
,December 2017,$574K,64.0%,53.5%,2,100.0%,-60.0%,3,-25.0%,-40.0%,3,50.0%,200.0%,10,-1,2,100.0%,0.0%,-7.7%
,January 2018,$568K,-1.1%,41.9%,4,100.0%,33.3%,2,-33.3%,0.0%,1,-66.7%,-50.0%,12,2,-2,99.8%,-0.2%,-8.9%
,February 2018,$600K,5.7%,60.4%,3,-25.0%,200.0%,1,-50.0%,-66.7%,,,,13,1,-1,99.7%,-0.1%,0.0%
,March 2018,$600K,-0.1%,-5.4%,3,0.0%,50.0%,,,,,,,100,87,72,99.1%,-0.6%,-10.8%
,April 2018,$600K,0.0%,-5.4%,1,-66.7%,-50.0%,2,,-50.0%,1,,-66.7%,131,31,103,98.3%,-0.9%,-11.6%
,May 2018,$665K,10.9%,18.2%,4,300.0%,0.0%,3,50.0%,-25.0%,,,,14,-117,-10,102.0%,3.7%,-7.7%
,June 2018,$783K,17.8%,52.0%,4,0.0%,33.3%,8,166.7%,60.0%,4,,0.0%,14,0,7,102.4%,0.4%,-5.2%
,July 2018,$606K,-22.7%,17.6%,6,50.0%,100.0%,8,0.0%,100.0%,2,-50.0%,,13,-2,6,102.9%,0.4%,-4.7%
,August 2018,$500K,-17.4%,-9.3%,5,-16.7%,25.0%,8,0.0%,166.7%,2,0.0%,,18,6,3,102.6%,-0.3%,1.6%
,September 2018,$500K,0.0%,-9.1%,5,0.0%,66.7%,3,-62.5%,50.0%,1,-50.0%,-50.0%,13,-5,-9,102.6%,0.0%,2.6%
,October 2018,$599K,19.8%,8.9%,3,-40.0%,0.0%,2,-33.3%,-33.3%,2,100.0%,0.0%,13,0,-9,101.8%,-0.8%,1.8%
,November 2018,$775K,29.4%,121.4%,1,-66.7%,0.0%,5,150.0%,25.0%,5,150.0%,150.0%,3,-10,-8,100.0%,-1.8%,0.0%
,December 2018,$700K,-9.7%,22.0%,1,0.0%,-50.0%,5,0.0%,66.7%,4,-20.0%,33.3%,107,104,97,100.0%,0.0%,0.0%
,January 2019,$561K,-19.9%,-1.2%,2,100.0%,-50.0%,4,-20.0%,100.0%,4,0.0%,300.0%,67,-40,55,98.0%,-2.1%,-1.8%
,February 2019,$561K,0.0%,-6.6%,2,0.0%,-33.3%,,,,4,0.0%,,67,0,54,98.0%,0.0%,-1.8%
,March 2019,$421K,-24.9%,-29.8%,1,-50.0%,-66.7%,1,,,4,0.0%,,27,-40,-73,95.9%,-2.1%,-3.2%
,May 2019,$595K,,-10.5%,3,,-25.0%,2,,-33.3%,,,,134,,120,94.9%,,-7.1%
,June 2019,$508K,-14.7%,-35.2%,6,100.0%,50.0%,5,150.0%,-37.5%,4,,0.0%,149,16,135,95.4%,0.5%,-7.0%
,July 2019,$508K,0.0%,-16.2%,6,0.0%,0.0%,7,40.0%,-12.5%,5,25.0%,150.0%,149,0,137,95.4%,0.0%,-7.5%
,August 2019,$410K,-19.2%,-18.0%,3,-50.0%,-40.0%,6,-14.3%,-25.0%,3,-40.0%,50.0%,175,26,157,95.9%,0.5%,-6.7%
,September 2019,$450K,9.8%,-10.0%,1,-66.7%,-80.0%,2,-66.7%,-33.3%,3,0.0%,200.0%,36,-139,23,,,
,October 2019,$545K,21.1%,-9.0%,3,200.0%,0.0%,3,50.0%,50.0%,1,-66.7%,-50.0%,36,0,23,98.9%,,-2.9%
,November 2019,$498K,-8.7%,-35.8%,5,66.7%,400.0%,4,33.3%,-20.0%,2,100.0%,-60.0%,25,-11,22,96.4%,-2.5%,-3.6%
,December 2019,$545K,9.5%,-22.1%,5,0.0%,400.0%,4,0.0%,-20.0%,2,0.0%,-50.0%,14,-11,-93,96.4%,0.0%,-3.6%
,January 2020,$375K,-31.2%,-33.1%,3,-40.0%,50.0%,1,-75.0%,-75.0%,1,-50.0%,-75.0%,14,0,-53,94.7%,-1.7%,-3.2%
,March 2020,$470K,,11.6%,2,,100.0%,2,,100.0%,,,,6,,-21,100.0%,,4.1%
,April 2020,$680K,44.7%,,3,50.0%,,5,150.0%,,3,,,120,114,,101.5%,1.5%,
,May 2020,$680K,0.0%,14.3%,3,0.0%,0.0%,8,60.0%,300.0%,5,66.7%,,120,0,-14,101.5%,0.0%,6.6%
,June 2020,$806K,18.6%,58.9%,2,-33.3%,-66.7%,9,12.5%,80.0%,6,20.0%,50.0%,132,12,-17,102.3%,0.8%,6.9%
,July 2020,$495K,-38.6%,-2.5%,3,50.0%,-50.0%,7,-22.2%,0.0%,5,-16.7%,0.0%,23,-109,-126,101.2%,-1.1%,5.8%
,August 2020,$550K,11.1%,34.1%,5,66.7%,66.7%,10,42.9%,66.7%,5,0.0%,66.7%,30,7,-145,101.1%,-0.1%,5.2%
,September 2020,$550K,0.0%,22.2%,6,20.0%,500.0%,9,-10.0%,350.0%,5,0.0%,66.7%,30,0,-6,100.9%,-0.2%,
,October 2020,$560K,1.8%,2.7%,6,0.0%,100.0%,18,100.0%,500.0%,8,60.0%,700.0%,34,4,-2,100.3%,-0.6%,1.4%
"Seattle, WA - Broadview",February 2012,$345K,-16.5%,1.0%,25,8.7%,56.3%,22,29.4%,29.4%,17,-15.0%,-32.0%,88,33,2,97.1%,-0.1%,7.0%
,March 2012,$470K,36.2%,0.0%,27,8.0%,92.9%,34,54.5%,25.9%,20,17.6%,-9.1%,63,-26,-58,98.6%,1.5%,5.1%
,April 2012,$445K,-5.3%,11.3%,32,18.5%,77.8%,45,32.4%,28.6%,22,10.0%,-8.3%,55,-8,-7,98.1%,-0.5%,1.0%
,May 2012,$398K,-10.7%,-3.3%,34,6.3%,25.9%,43,-4.4%,38.7%,20,-9.1%,-23.1%,19,-36,-3,98.7%,0.6%,1.4%
,June 2012,$381K,-4.2%,-10.0%,34,0.0%,47.8%,39,-9.3%,8.3%,21,5.0%,-34.4%,14,-5,1,98.8%,0.1%,1.2%
,July 2012,$373K,-2.0%,-12.0%,32,-5.9%,60.0%,33,-15.4%,-17.5%,23,9.5%,-42.5%,12,-3,-2,99.6%,0.8%,1.5%
,August 2012,$416K,11.5%,19.2%,31,-3.1%,63.2%,32,-3.0%,-30.4%,20,-13.0%,-52.4%,11,-1,-14,99.7%,0.1%,3.1%
,September 2012,$420K,1.0%,15.1%,31,0.0%,29.2%,29,-9.4%,-32.6%,24,20.0%,-47.8%,38,27,8,98.7%,-1.0%,1.4%
,October 2012,$438K,4.3%,4.9%,27,-12.9%,-10.0%,28,-3.4%,-30.0%,21,-12.5%,-47.5%,53,15,-9,98.2%,-0.5%,2.7%
,November 2012,$442K,1.0%,1.7%,22,-18.5%,-18.5%,21,-25.0%,-41.7%,15,-28.6%,-53.1%,43,-10,-25,98.1%,-0.2%,1.8%
,December 2012,$430K,-2.8%,2.6%,21,-4.5%,-30.0%,15,-28.6%,-37.5%,14,-6.7%,-41.7%,20,-23,-46,98.2%,0.1%,2.4%
,January 2013,$432K,0.4%,4.5%,20,-4.8%,-13.0%,14,-6.7%,-17.6%,18,28.6%,-10.0%,18,-3,-38,100.8%,2.7%,3.6%
,February 2013,$436K,1.0%,26.4%,21,5.0%,-16.0%,17,21.4%,-22.7%,13,-27.8%,-23.5%,18,1,-70,102.1%,1.3%,5.0%
,March 2013,$463K,6.2%,-1.5%,21,0.0%,-22.2%,25,47.1%,-26.5%,13,0.0%,-35.0%,23,5,-40,102.9%,0.8%,4.3%
,April 2013,$463K,0.0%,4.0%,27,28.6%,-15.6%,28,12.0%,-37.8%,9,-30.8%,-59.1%,14,-9,-41,100.7%,-2.2%,2.7%
,May 2013,$437K,-5.6%,9.9%,32,18.5%,-5.9%,42,50.0%,-2.3%,13,44.4%,-35.0%,9,-5,-10,100.4%,-0.4%,1.7%
,June 2013,$446K,2.1%,17.1%,37,15.6%,8.8%,48,14.3%,23.1%,18,38.5%,-14.3%,8,-2,-7,101.4%,1.1%,2.7%
,July 2013,$446K,0.0%,19.5%,37,0.0%,15.6%,54,12.5%,63.6%,23,27.8%,0.0%,7,-1,-5,102.5%,1.1%,3.0%
,August 2013,$454K,1.7%,9.1%,36,-2.7%,16.1%,45,-16.7%,40.6%,25,8.7%,25.0%,8,1,-3,102.2%,-0.3%,2.5%
,September 2013,$458K,0.8%,8.9%,27,-25.0%,-12.9%,44,-2.2%,51.7%,24,-4.0%,0.0%,10,2,-28,102.2%,0.0%,3.5%
,October 2013,$458K,0.0%,4.5%,29,7.4%,7.4%,33,-25.0%,17.9%,19,-20.8%,-9.5%,20,10,-33,99.8%,-2.4%,1.6%
,November 2013,$460K,0.5%,4.0%,27,-6.9%,22.7%,32,-3.0%,52.4%,13,-31.6%,-13.3%,23,3,-21,98.9%,-0.9%,0.9%
,December 2013,$498K,8.2%,15.7%,30,11.1%,42.9%,20,-37.5%,33.3%,9,-30.8%,-35.7%,25,2,5,97.7%,-1.2%,-0.5%
,January 2014,$495K,-0.5%,14.6%,23,-23.3%,15.0%,19,-5.0%,35.7%,10,11.1%,-44.4%,22,-3,5,98.1%,0.3%,-2.8%
,February 2014,$500K,1.0%,14.7%,19,-17.4%,-9.5%,18,-5.3%,5.9%,10,0.0%,-23.1%,21,-1,3,98.5%,0.5%,-3.6%
,March 2014,$445K,-11.0%,-3.9%,18,-5.3%,-14.3%,23,27.8%,-8.0%,9,-10.0%,-30.8%,7,-14,-16,100.9%,2.4%,-2.0%
,April 2014,$425K,-4.6%,-8.3%,24,33.3%,-11.1%,35,52.2%,25.0%,17,88.9%,88.9%,8,1,-6,102.2%,1.3%,1.5%
,May 2014,$445K,4.8%,1.8%,30,25.0%,-6.3%,43,22.9%,2.4%,23,35.3%,76.9%,8,0,-1,103.2%,0.9%,2.8%
,June 2014,$461K,3.6%,3.4%,31,3.3%,-16.2%,58,34.9%,20.8%,29,26.1%,61.1%,12,4,5,102.7%,-0.5%,1.3%
,July 2014,$575K,24.7%,28.9%,37,19.4%,0.0%,53,-8.6%,-1.9%,25,-13.8%,8.7%,12,0,5,100.9%,-1.8%,-1.6%
,August 2014,$515K,-10.4%,13.5%,43,16.2%,19.4%,46,-13.2%,2.2%,25,0.0%,0.0%,15,3,7,100.3%,-0.7%,-2.0%
,September 2014,$508K,-1.5%,10.9%,42,-2.3%,55.6%,32,-30.4%,-27.3%,24,-4.0%,0.0%,15,-1,5,99.8%,-0.4%,-2.4%
,October 2014,$500K,-1.6%,9.2%,34,-19.0%,17.2%,25,-21.9%,-24.2%,21,-12.5%,10.5%,19,5,-1,100.3%,0.5%,0.5%
,November 2014,$567K,13.5%,23.3%,25,-26.5%,-7.4%,16,-36.0%,-50.0%,12,-42.9%,-7.7%,35,16,13,99.2%,-1.2%,0.2%
,December 2014,$561K,-1.1%,12.8%,20,-20.0%,-33.3%,8,-50.0%,-60.0%,10,-16.7%,11.1%,36,1,12,99.8%,0.6%,2.0%
,January 2015,$555K,-1.1%,12.1%,13,-35.0%,-43.5%,9,12.5%,-52.6%,11,10.0%,10.0%,118,82,96,99.0%,-0.7%,1.0%
,February 2015,$562K,1.3%,12.4%,12,-7.7%,-36.8%,17,88.9%,-5.6%,12,9.1%,20.0%,72,-47,51,101.6%,2.5%,3.0%
,March 2015,$539K,-4.1%,21.1%,17,41.7%,-5.6%,26,52.9%,13.0%,11,-8.3%,22.2%,8,-64,1,101.3%,-0.3%,0.4%
,April 2015,$616K,14.3%,45.1%,30,76.5%,25.0%,36,38.5%,2.9%,9,-18.2%,-47.1%,8,0,0,101.8%,0.5%,-0.4%
,May 2015,$551K,-10.6%,23.7%,33,10.0%,10.0%,44,22.2%,2.3%,14,55.6%,-39.1%,8,0,0,101.7%,-0.2%,-1.5%
,June 2015,$551K,0.0%,19.4%,43,30.3%,38.7%,48,9.1%,-17.2%,13,-7.1%,-55.2%,8,0,-4,102.7%,1.0%,0.0%
,July 2015,$491K,-10.9%,-14.7%,41,-4.7%,10.8%,52,8.3%,-1.9%,11,-15.4%,-56.0%,8,-1,-5,104.0%,1.3%,3.1%
,August 2015,$525K,7.0%,1.9%,51,24.4%,18.6%,48,-7.7%,4.3%,9,-18.2%,-64.0%,7,-1,-8,104.8%,0.7%,4.5%
,September 2015,$522K,-0.6%,2.9%,46,-9.8%,9.5%,51,6.3%,59.4%,15,66.7%,-37.5%,7,0,-8,104.8%,0.0%,4.9%
,October 2015,$572K,9.6%,14.5%,41,-10.9%,20.6%,40,-21.6%,60.0%,12,-20.0%,-42.9%,7,0,-12,104.1%,-0.7%,3.7%
,November 2015,$581K,1.6%,2.5%,33,-19.5%,32.0%,35,-12.5%,118.8%,10,-16.7%,-16.7%,9,2,-26,102.9%,-1.2%,3.7%
,December 2015,$589K,1.4%,5.0%,30,-9.1%,50.0%,25,-28.6%,212.5%,8,-20.0%,-20.0%,8,-1,-28,102.1%,-0.8%,2.3%
,January 2016,$600K,1.9%,8.1%,27,-10.0%,107.7%,19,-24.0%,111.1%,8,0.0%,-27.3%,9,1,-109,101.0%,-1.1%,2.0%
,February 2016,$630K,4.9%,12.0%,20,-25.9%,66.7%,23,21.1%,35.3%,9,12.5%,-25.0%,19,10,-53,101.7%,0.7%,0.1%
,March 2016,$648K,2.9%,20.1%,24,20.0%,41.2%,33,43.5%,26.9%,13,44.4%,18.2%,10,-10,2,103.7%,2.0%,2.3%
,April 2016,$648K,0.0%,5.1%,30,25.0%,0.0%,49,48.5%,36.1%,11,-15.4%,22.2%,8,-2,0,104.8%,1.1%,3.0%
,May 2016,$645K,-0.4%,17.2%,45,50.0%,36.4%,55,12.2%,25.0%,10,-9.1%,-28.6%,7,-1,-1,103.2%,-1.6%,1.5%
,June 2016,$638K,-1.2%,15.8%,50,11.1%,16.3%,48,-12.7%,0.0%,7,-30.0%,-46.2%,8,1,0,102.5%,-0.7%,-0.2%
,July 2016,$690K,8.2%,40.6%,51,2.0%,24.4%,50,4.2%,-3.8%,18,157.1%,63.6%,8,0,1,101.8%,-0.7%,-2.2%
,August 2016,$715K,3.6%,36.1%,43,-15.7%,-15.7%,41,-18.0%,-14.6%,10,-44.4%,11.1%,8,0,1,101.7%,-0.1%,-3.1%
,September 2016,$650K,-9.0%,24.5%,42,-2.3%,-8.7%,55,34.1%,7.8%,19,90.0%,26.7%,14,6,7,100.4%,-1.3%,-4.4%
,October 2016,$616K,-5.3%,7.6%,40,-4.8%,-2.4%,44,-20.0%,10.0%,12,-36.8%,0.0%,9,-5,2,101.3%,0.9%,-2.8%
,November 2016,$580K,-5.8%,-0.2%,44,10.0%,33.3%,41,-6.8%,17.1%,7,-41.7%,-30.0%,11,2,2,101.5%,0.2%,-1.4%
,December 2016,$590K,1.7%,0.2%,35,-20.5%,16.7%,20,-51.2%,-20.0%,4,-42.9%,-50.0%,8,-3,0,102.3%,0.9%,0.3%
,January 2017,$585K,-0.8%,-2.5%,32,-8.6%,18.5%,15,-25.0%,-21.1%,4,0.0%,-50.0%,11,3,2,100.4%,-1.9%,-0.6%
,February 2017,$611K,4.4%,-3.0%,20,-37.5%,0.0%,22,46.7%,-4.3%,4,0.0%,-55.6%,14,3,-5,100.2%,-0.2%,-1.5%
,March 2017,$622K,1.8%,-3.9%,29,45.0%,20.8%,29,31.8%,-12.1%,3,-25.0%,-76.9%,8,-6,-2,103.7%,3.5%,0.1%
,April 2017,$625K,0.4%,-3.5%,28,-3.4%,-6.7%,35,20.7%,-28.6%,6,100.0%,-45.5%,8,0,0,105.0%,1.3%,0.2%
,May 2017,$743K,18.9%,15.2%,36,28.6%,-20.0%,42,20.0%,-23.6%,10,66.7%,0.0%,8,0,1,105.7%,0.7%,2.5%
,June 2017,$755K,1.6%,18.4%,37,2.8%,-26.0%,46,9.5%,-4.2%,10,0.0%,42.9%,8,0,0,105.2%,-0.4%,2.7%
,July 2017,$741K,-1.9%,7.4%,41,10.8%,-19.6%,52,13.0%,4.0%,14,40.0%,-22.2%,8,0,0,104.9%,-0.3%,3.1%
,August 2017,$740K,-0.1%,3.6%,46,12.2%,7.0%,44,-15.4%,7.3%,8,-42.9%,-20.0%,9,1,1,103.9%,-1.0%,2.2%
,September 2017,$700K,-5.4%,7.7%,39,-15.2%,-7.1%,44,0.0%,-20.0%,12,50.0%,-36.8%,12,4,-2,103.1%,-0.8%,2.7%
,October 2017,$690K,-1.4%,12.1%,41,5.1%,2.5%,39,-11.4%,-11.4%,8,-33.3%,-33.3%,9,-3,0,104.7%,1.6%,3.4%
,November 2017,$721K,4.5%,24.3%,35,-14.6%,-20.5%,37,-5.1%,-9.8%,9,12.5%,28.6%,10,1,-1,104.5%,-0.2%,3.0%
,December 2017,$696K,-3.5%,18.0%,35,0.0%,0.0%,26,-29.7%,30.0%,2,-77.8%,-50.0%,9,-2,1,104.4%,-0.1%,2.1%
,January 2018,$696K,0.0%,19.0%,31,-11.4%,-3.1%,21,-19.2%,40.0%,5,150.0%,25.0%,13,4,2,101.5%,-2.9%,1.1%
,February 2018,$673K,-3.4%,10.1%,27,-12.9%,35.0%,21,0.0%,-4.5%,7,40.0%,75.0%,11,-2,-4,103.8%,2.3%,3.6%
,March 2018,$760K,13.0%,22.2%,25,-7.4%,-13.8%,31,47.6%,6.9%,7,0.0%,133.3%,7,-4,-1,105.9%,2.1%,2.2%
,April 2018,$880K,15.8%,40.9%,27,8.0%,-3.6%,40,29.0%,14.3%,9,28.6%,50.0%,7,0,-1,109.6%,3.7%,4.6%
,May 2018,$925K,5.1%,24.5%,35,29.6%,-2.8%,50,25.0%,19.0%,16,77.8%,60.0%,7,0,-1,108.0%,-1.6%,2.3%
,June 2018,$933K,0.8%,23.5%,38,8.6%,2.7%,50,0.0%,8.7%,15,-6.3%,50.0%,8,1,0,105.9%,-2.1%,0.7%
,July 2018,$815K,-12.6%,10.0%,41,7.9%,0.0%,46,-8.0%,-11.5%,14,-6.7%,0.0%,8,0,0,104.0%,-1.9%,-0.9%
,August 2018,$770K,-5.5%,4.1%,38,-7.3%,-17.4%,35,-23.9%,-20.5%,15,7.1%,87.5%,12,4,4,101.9%,-2.1%,-2.1%
,September 2018,$759K,-1.5%,8.4%,32,-15.8%,-17.9%,36,2.9%,-18.2%,19,26.7%,58.3%,21,9,9,101.0%,-0.9%,-2.1%
,October 2018,$760K,0.2%,10.1%,29,-9.4%,-29.3%,34,-5.6%,-12.8%,24,26.3%,200.0%,17,-4,8,99.1%,-1.9%,-5.6%
,November 2018,$727K,-4.3%,0.8%,19,-34.5%,-45.7%,34,0.0%,-8.1%,21,-12.5%,133.3%,17,0,7,98.1%,-1.0%,-6.4%
,December 2018,$727K,0.0%,4.5%,23,21.1%,-34.3%,22,-35.3%,-15.4%,15,-28.6%,650.0%,18,1,10,97.8%,-0.3%,-6.6%
,January 2019,$720K,-1.0%,3.5%,17,-26.1%,-45.2%,16,-27.3%,-23.8%,13,-13.3%,160.0%,40,22,28,97.4%,-0.3%,-4.1%
,February 2019,$752K,4.4%,11.8%,23,35.3%,-14.8%,12,-25.0%,-42.9%,7,-46.2%,0.0%,50,10,39,97.5%,0.1%,-6.3%
,March 2019,$765K,1.7%,0.7%,21,-8.7%,-16.0%,19,58.3%,-38.7%,7,0.0%,0.0%,47,-3,40,97.1%,-0.4%,-8.8%
,April 2019,$774K,1.1%,-12.1%,26,23.8%,-3.7%,30,57.9%,-25.0%,12,71.4%,33.3%,31,-16,24,98.8%,1.7%,-10.8%
,May 2019,$765K,-1.1%,-17.3%,31,19.2%,-11.4%,46,53.3%,-8.0%,19,58.3%,18.8%,9,-22,2,99.5%,0.7%,-8.5%
,June 2019,$763K,-0.3%,-18.2%,30,-3.2%,-21.1%,49,6.5%,-2.0%,20,5.3%,33.3%,9,0,1,100.0%,0.4%,-5.9%
,July 2019,$740K,-3.0%,-9.2%,29,-3.3%,-29.3%,51,4.1%,10.9%,20,0.0%,42.9%,15,6,7,99.5%,-0.5%,-4.5%
,August 2019,$795K,7.4%,3.2%,35,20.7%,-7.9%,37,-27.5%,5.7%,23,15.0%,53.3%,25,10,13,99.6%,0.1%,-2.2%
,September 2019,$740K,-6.9%,-2.5%,35,0.0%,9.4%,36,-2.7%,0.0%,18,-21.7%,-5.3%,26,1,6,99.1%,-0.6%,-1.9%
,October 2019,$729K,-1.6%,-4.1%,36,2.9%,24.1%,27,-25.0%,-20.6%,17,-5.6%,-29.2%,26,-1,9,99.1%,0.0%,0.0%
,November 2019,$719K,-1.3%,-1.1%,27,-25.0%,42.1%,26,-3.7%,-23.5%,9,-47.1%,-57.1%,24,-2,7,98.0%,-1.0%,-0.1%
,December 2019,$750K,4.3%,3.2%,33,22.2%,43.5%,19,-26.9%,-13.6%,5,-44.4%,-66.7%,24,0,6,99.8%,1.7%,2.0%
,January 2020,$757K,1.0%,5.2%,28,-15.2%,64.7%,14,-26.3%,-12.5%,5,0.0%,-61.5%,24,0,-16,99.4%,-0.4%,1.9%
,February 2020,$795K,5.0%,5.7%,23,-17.9%,0.0%,15,7.1%,25.0%,6,20.0%,-14.3%,22,-2,-28,99.3%,-0.1%,1.8%
,March 2020,"$1,015K",27.7%,32.7%,23,0.0%,9.5%,25,66.7%,31.6%,6,0.0%,-14.3%,7,-15,-40,102.3%,3.1%,5.2%
